Division,District,Upazila,Union,CC Name,Facility/Organization Code,Facility Name,Facility Type,,Corrected Facilities Name,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Balaganj,Gopkanu Cc ,10017641,CC Gopkanu ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Balaganj,Hossainpur Cc ,10017640,CC Hossainpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Balaganj,Kajipur Cc ,10012911,CC Kajipur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Balaganj,Rifatpur Cc ,10012912,CC Rifatpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Boaljur Bazar,Nasiorpur Cc ,10012913,CC Nasiorpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Boaljur Bazar,Mobarkpur Cc ,10012928,CC Mobarkpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Burunga,Pearapur Cc ,10017643,CC Pearapur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Burunga,Burunga USC,10002162,USC Burunga ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Burunga,Tilpara Cc ,10012914,CC Tilpara ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Dayamir,Daulatpur Cc ,10012915,CC Daulatpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Dayamir,Dayamir Cc ,10012916,CC Dayamir ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Dayamir,Khagadipur Cc ,10012917,CC Khagadipur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Dewan Bazar,Jamalpur Cc ,10017638,CC Jamalpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Dewan Bazar,Sultanpur USC,10002166,USC Sultanpur ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Dewan Bazar,Kuluma Cc ,10017637,CC Kuluma ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Dewan Bazar,Sirajpur Cc ,10017636,CC Sirajpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Goula Bazar,Brahmangram Cc ,10012918,CC Brahmangram ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Goula Bazar,Jayfarpur Cc ,10012919,CC Jayfarpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Goula Bazar,Mutiargow Cc ,10017635,CC Mutiargow ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Omarpur,Khadimpur Cc ,10017633,CC Khadimpur ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Omarpur,Sikandarpur USC,10002165,USC Sikandarpur ,USC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Omarpur,Mandaruka Cc ,10017644,CC Mandaruka ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Omarpur,Matihani Cc ,10017632,CC Matihani ,CC,,,,,,,,,,,,,,
Sylhet,Sylhet,Balaganj,Osmanpur,Sarifnagar Cc ,10012920,CC Sarifnagar ,CC,,,,,,,,,,,,,,
