state,facility,district,block,,,
Punjab,HWC Aklian Kalan,Bathinda,Goniana,,,
Punjab,SDH Rampura Phul,Bathinda,Balianwali,,,
Punjab,SDH Ghudda,Bathinda,Sangat,,,
Punjab,SAD Gurunank Nagar,Bathinda,Bathinda,,,
Punjab,SAD Partap Nagar,Bathinda,Bathinda,,,
Punjab,UPHC Phul,Bathinda,Bhagta,,,
Punjab,UPHC Beant Nagar,Bathinda,Bathinda,,,
Punjab,USAD Ganesha Basti,Bathinda,Bathinda,,,
Punjab,UPHC Janta Nagar,Bathinda,Bathinda,,,
Punjab,HWC Mehma Swai,Bathinda,CHC Goniana ,,,
Punjab,HWC Tungwali,Bathinda,CHC Nathana ,,,
Punjab,SAD Rampura Town,Bathinda,Balianwali,,,
Punjab,SAD Rampura Village,Bathinda,Balianwali,,,
Punjab,HWC Jaisinghwala,Bathinda,Sangat,,,
Punjab,HWC Nandgarh,Bathinda,Sangat,,,
Punjab,HWC Pathrala,Bathinda,Sangat,,,
Punjab,HWC Jangi Rana,Bathinda,Sangat,,,
Punjab,HWC Jiwan Singh wala,Bathinda,Talwandi,,,
Punjab,HWC Singo,Bathinda,Talwandi,,,
Punjab,HWC Burj Sema,Bathinda,CHC Nathana ,,,
Punjab,HWC Burj Mehma,Bathinda,CHC Goniana ,,,
Punjab,SAD Kot Fatta Village,Bathinda,Talwandi,,,
Punjab,SAD Namdev Nagar,Bathinda,Bathinda,,,
Punjab,HWC Kotra Kotian Wala,Bathinda,Balianwali,,,
Punjab,HWC Killi Nihalsinghwala,Bathinda,CHC Goniana ,,,
Punjab,HWC Dhingar,Bathinda,Bhagta,,,
Punjab,HWC Pitho,Bathinda,Balianwali,,,
Punjab,HWC Govindpura,Bathinda,Nathana,,,
Punjab,HWC CFSW,Bathinda,Nathana,,,
Punjab,HWC Nahian Wala,Bathinda,Goniana,,,
Punjab,HWC Bir Behman,Bathinda,Goniana,,,
Punjab,HWC Dialpura Bhai Ka,Bathinda,Bhagta,,,
Punjab,HWC Selbrah,Bathinda,Bhagta,,,
Punjab,HWC Lehera Sondha,Bathinda,CHC Nathana ,,,
Punjab,HWC Gumti Klan,Bathinda,Bhagta,,,
Punjab,HWC Ganga,Bathinda,Goniana,,,
Punjab,HWC Lehera Khana,Bathinda,Goniana,,,
Punjab,HWC Gulab Garh,Bathinda,Goniana,,,
Punjab,HWC Sirian Wala,Bathinda,Bhagta,,,
Punjab,HWC Bhunder,Bathinda,Balianwali,,,
Punjab,HWC Baho Yatri,Bathinda,Goniana,,,
Punjab,UPHC Parasram Nagar,Bathinda,Bathinda,,,
Punjab,HWC Bhucho Khurd,Bathinda,Nathana,,,
Punjab,HWC Jassi Bagh Wali,Bathinda,Sangat,,,
Punjab,HWC Behman Diwana,Bathinda,Goniana,,,
Punjab,HWC Maluka,Bathinda,Bhagta,,,
Punjab,HWC Gill Patti,Bathinda,Goniana,,,
Punjab,HWC Sivian,Bathinda,Goniana,,,
Punjab,HWC Harrai Pur,Bathinda,Goniana,,,
Punjab,HWC Chowke,Bathinda,Balianwali,,,
Punjab,HWC Sidhana,Bathinda,Bhagta,,,
Punjab,HWC Chughe kalan,Bathinda,Goniana,,,
Punjab,HWC Naruana,Bathinda,Goniana,,,
Punjab,HWC Bagha,Bathinda,Sangat,,,
Punjab,HWC Shekhu,Bathinda,Sangat,,,
Punjab,HWC Giana,Bathinda,Talwandi,,,
Punjab,HWC Balloh,Bathinda,Balianwali,,,
Punjab,District Hospital Bathinda,Bathinda,Bathinda,,,
Punjab,RH Chak Atarsinghwala,Bathinda,Sangat,,,
Punjab,HWC Ablu,Bathinda,Goniana,,,
Punjab,HWC Rampura Village,Bathinda,Balianwali,,,
Punjab,HWC Jaga Ram Tirath,Bathinda,Talwandi,,,
Punjab,HWC Poohla,Bathinda,Nathana,,,
Punjab,HWC Jethuke,Bathinda,Balianwali,,,
Punjab,UPHC Lal Singh Basti,Bathinda,Bathinda,,,
Punjab,HWC Bhucho Kalan,Bathinda,Nathana,,,
Punjab,HWC Bhokra,Bathinda,Goniana,,,
Punjab,HWC Chak Ruldusinghwala,Bathinda,Sangat,,,
Punjab,HWC Bibiwala,Bathinda,Nathana,,,
Punjab,HWC Shekhpura,Bathinda,Talwandi,,,
Punjab,HWC Deon,Bathinda,Goniana,,,
Punjab,HWC Bhagi Wander,Bathinda,Talwandi,,,
Punjab,HWC Ghuman Klan,Bathinda,Talwandi,,,
Punjab,HWC Jeond,Bathinda,Balianwali,,,
Punjab,HWC Dikh,Bathinda,Balianwali,,,
Maharashtra,PHC Kesalwada HWC Garada,Bhandara,Lakhani,,,
Maharashtra,PHC Nakadongari HWC Chikhla,Bhandara,Tumsar ,,,
Maharashtra,PHC Sarandi BK HWC Mandhal,Bhandara,Lakhandur ,,,
Maharashtra,PHC Gobarwahi HWC Chicholi,Bhandara,Tumsar ,,,
Maharashtra,PHC Betala HWC Mohgaondevi,Bhandara,Mohadi ,,,
Maharashtra,PHC Andhalgaon HWC Kanhalgaon,Bhandara,Mohadi ,,,
Maharashtra,PHC Chulhad HWC Hardoli,Bhandara,Tumsar ,,,
Maharashtra,PHC Dewhadi HWC Bamhani,Bhandara,Tumsar ,,,
Maharashtra,PHC Dewhadi HWC Tamaswadi,Bhandara,Tumsar ,,,
Maharashtra,PHC Gobarwahi HWC Mohgaon Khadan,Bhandara,Tumsar ,,,
Maharashtra,PHC Gobarwahi HWC Sitasawangi,Bhandara,Tumsar ,,,
Maharashtra,PHC Jamb HWC Dhop,Bhandara,Mohadi ,,,
Maharashtra,PHC Jamb HWC Hiwara,Bhandara,Mohadi ,,,
Maharashtra,PHC Jamb HWC Kandri,Bhandara,Mohadi ,,,
Maharashtra,PHC Karadi HWC Nilaj BK,Bhandara,Mohadi ,,,
Maharashtra,PHC Khamari HWC Koka,Bhandara,Bhandara ,,,
Maharashtra,PHC Lendezari HWC Bagheda,Bhandara,Tumsar ,,,
Maharashtra,PHC Lendezari HWC Hardoli,Bhandara,Tumsar ,,,
Maharashtra,PHC Nakadongari HWC Dongri B,Bhandara,Tumsar ,,,
Maharashtra,PHC Nakadongari HWC Kawlewada,Bhandara,Tumsar ,,,
Maharashtra,PHC Sangadi HWC Shivanibandh,Bhandara,Sakoli ,,,
Maharashtra,PHC Warthi HWC Mandesar,Bhandara,Mohadi ,,,
Maharashtra,PHC Lendezari HWC Rongha,Bhandara,Tumsar ,,,
Maharashtra,PHC Sangadi HWC Sawarbandh,Bhandara,Sakoli ,,,
